376.0	485.1	318.5	264.9	219.0	186.5	156.2	141.9	112.2	110.3	88.19	77.89	63.90	51.60	50.89	47.35	46.35	46.39	47.88	49.65	50.52	48.48	45.72	40.50	35.62	31.84	28.59	71.27	139.1	48.62	20.44	16.98	17.70	18.82	43.16	 2172	9999.9	9999.9	 1402	20.30	10.71	8.288	6.145	5.583	4.543	3.834	3.582	3.081	2.624	2.730	2.364	2.157
378.0	452.6	385.3	288.7	209.6	196.8	160.7	131.6	118.4	99.08	94.93	75.45	58.60	53.58	53.89	47.15	48.61	47.13	47.06	50.45	50.35	48.85	46.32	42.13	35.70	31.42	28.21	46.67	130.6	74.83	21.63	18.19	16.46	16.90	23.49	369.2	9999.9	9999.9	 7712	36.28	12.77	9.063	6.994	5.319	4.824	3.614	3.937	3.238	2.947	2.394	2.308	2.060
380.0	470.4	423.3	261.0	232.9	172.1	149.3	123.5	112.1	109.6	95.01	74.66	59.90	58.16	51.35	47.71	49.74	49.90	48.31	50.63	47.27	47.08	44.84	40.62	37.45	32.37	27.98	35.16	108.6	107.8	29.07	19.23	17.12	17.15	18.58	74.33	 4033	9999.9	9999.9	439.2	17.05	10.06	7.998	6.356	5.303	3.832	3.793	3.336	2.964	2.352	2.261	2.574
382.0	430.3	348.4	295.7	221.3	154.1	155.2	119.7	116.6	101.8	89.63	73.58	61.79	50.56	46.73	48.26	45.92	47.31	49.20	50.15	47.28	45.65	45.72	40.34	37.77	33.70	29.77	29.27	73.50	123.9	42.47	19.65	17.54	16.67	15.63	28.70	808.7	9999.9	9999.9	 3580	24.15	11.97	8.476	6.174	5.190	4.017	3.466	3.405	3.087	2.598	2.575	2.563
384.0	436.4	327.0	259.4	252.8	180.0	163.5	128.7	112.1	103.8	91.81	85.29	66.77	50.93	53.04	49.97	45.64	49.31	50.96	49.41	47.57	47.80	45.23	39.79	37.16	33.52	29.14	30.49	49.83	124.6	64.49	21.56	19.04	16.16	16.24	19.87	140.8	 7126	9999.9	9999.9	114.2	14.94	9.451	7.284	5.722	4.610	3.797	3.348	3.312	2.513	2.475	2.203
386.0	545.8	287.7	283.6	262.4	167.5	149.9	129.2	109.8	113.4	94.94	80.64	64.21	56.23	50.40	50.23	47.53	48.28	47.74	48.68	46.76	46.52	47.21	42.02	37.47	35.84	30.12	27.83	36.69	103.8	90.20	25.20	17.25	15.89	15.40	16.58	39.55	 1913	9999.9	9999.9	 1429	19.53	10.21	7.672	7.016	4.223	4.381	3.365	3.331	2.730	2.673	2.217
388.0	593.9	309.3	258.1	255.9	162.2	160.4	144.5	111.3	110.3	96.08	74.87	65.88	52.59	51.43	48.46	46.64	50.36	48.41	46.82	46.34	44.91	44.52	43.02	38.58	36.01	32.49	29.23	32.24	78.39	109.8	35.35	18.06	15.52	15.61	14.58	22.09	327.6	9999.9	9999.9	 7218	35.29	12.94	9.667	6.928	5.196	4.461	3.784	3.377	2.873	2.548	2.848
390.0	935.2	387.7	251.8	184.9	191.0	142.2	121.7	111.2	104.6	89.36	81.99	67.32	56.30	51.15	50.26	48.14	47.67	46.35	46.15	45.29	46.78	44.17	42.60	39.40	34.16	32.05	29.80	28.23	53.29	115.5	54.52	20.78	17.00	14.82	14.26	16.34	68.05	 4101	9999.9	9999.9	398.8	16.87	10.44	7.802	6.093	4.395	4.140	3.509	3.119	2.494	2.311
392.0	 1318	377.5	234.2	226.5	213.3	157.0	131.9	120.9	110.2	96.61	78.05	64.88	60.46	49.16	47.35	48.36	47.69	47.17	45.27	48.57	43.42	44.33	39.89	39.95	35.33	33.65	30.05	28.85	37.68	102.2	77.85	22.44	17.75	15.19	14.17	15.44	26.06	851.0	9999.9	9999.9	 3318	24.11	11.35	8.009	6.345	4.838	3.928	3.590	3.348	2.792	2.559
394.0	 2374	370.1	257.0	222.2	179.3	154.4	129.8	126.3	111.0	93.37	81.93	66.57	61.55	51.92	49.07	50.00	48.06	49.23	47.81	48.38	45.78	45.62	42.70	39.95	37.55	34.67	31.37	30.82	31.62	79.87	99.22	30.12	17.85	14.73	13.98	14.78	18.21	146.2	 7314	9999.9	9999.9	97.50	14.04	9.449	7.225	5.165	4.387	3.843	2.976	2.610	2.535
396.0	 3929	465.7	242.0	223.1	193.4	150.8	130.3	116.6	107.1	96.78	84.25	67.03	61.30	50.64	48.67	49.25	47.46	51.00	49.00	48.51	46.35	46.77	43.19	41.98	39.11	34.21	33.68	30.39	30.94	52.82	108.8	47.09	17.56	15.35	13.96	14.19	15.11	39.21	 1996	9999.9	9999.9	 1253	19.80	10.18	7.534	5.999	5.103	4.275	3.543	2.960	3.054
398.0	 5407	794.8	260.0	206.2	226.8	191.5	131.4	115.6	112.3	91.58	78.60	72.24	60.73	50.39	50.42	50.93	47.03	45.75	47.43	48.75	46.63	44.34	43.16	41.80	39.43	37.97	34.61	30.40	30.26	39.12	98.69	67.19	20.61	16.02	13.24	13.73	13.93	20.44	340.0	9999.9	9999.9	 6835	33.92	12.01	8.267	7.054	5.063	4.127	3.402	2.680	3.171
400.0	 6185	 1538	294.6	240.4	205.0	162.6	137.7	121.5	104.8	101.1	79.45	66.38	58.60	57.82	50.58	48.20	48.38	48.59	46.39	48.62	45.59	43.53	44.02	43.19	41.65	36.05	35.83	31.75	28.70	32.01	77.44	86.96	27.04	16.30	13.96	13.83	12.88	15.02	69.71	 3888	9999.9	9999.9	368.6	15.40	9.782	7.101	5.441	4.311	3.742	3.093	2.868
402.0	 6166	 2840	233.8	262.5	217.3	178.9	168.5	123.8	103.3	95.50	81.45	66.46	59.19	57.06	53.76	47.73	48.64	48.69	49.37	47.95	44.54	46.94	44.07	42.64	39.64	38.68	34.94	32.27	28.87	30.30	56.93	97.07	39.47	16.82	14.62	13.26	13.02	13.14	25.85	788.0	9999.9	9999.9	 3028	21.64	10.86	7.527	6.116	4.469	3.710	3.324	2.632
404.0	 5950	 4682	351.9	206.3	201.2	165.6	155.0	137.1	107.4	99.55	81.62	69.39	59.65	53.97	50.46	48.11	46.53	44.97	46.26	47.84	45.92	47.14	43.91	43.75	41.42	39.03	36.28	33.85	30.59	28.62	40.17	93.46	56.90	18.87	14.66	13.78	12.52	12.94	16.66	134.7	 6796	9999.9	9999.9	79.59	13.24	8.665	6.774	4.433	3.990	3.210	3.000
406.0	 4491	 6503	408.6	240.4	195.7	155.6	133.6	139.9	112.1	94.03	82.44	69.10	60.67	55.05	49.56	49.84	45.46	47.49	43.67	45.98	45.17	45.57	43.72	42.93	42.56	41.54	37.34	33.90	31.29	27.96	31.28	77.74	75.68	24.42	15.19	13.83	12.46	12.79	13.56	36.15	 1845	9999.9	9999.9	 1069	16.56	9.674	7.121	5.458	4.389	3.578	2.458
408.0	 2777	 8453	843.9	230.4	202.4	165.6	142.2	128.0	108.6	95.38	87.77	72.28	57.77	59.27	49.37	47.07	45.74	46.68	48.92	48.27	45.14	47.20	44.90	43.53	42.28	39.44	37.93	35.19	31.65	28.99	28.73	59.95	87.21	32.60	15.52	14.10	12.59	12.98	12.43	19.44	311.9	9999.9	9999.9	 6103	26.94	11.03	8.440	5.972	4.533	3.825	3.047
410.0	 1439	 8368	 2033	237.0	178.8	180.2	144.6	129.4	104.0	97.16	81.11	74.75	64.00	56.42	55.86	46.40	48.62	46.80	46.87	44.97	47.10	47.50	48.02	45.64	42.88	39.79	38.81	34.29	32.95	29.48	27.24	42.66	86.43	48.36	17.35	14.12	12.37	12.57	12.32	13.54	63.23	 3933	9999.9	9999.9	264.2	14.07	9.158	6.613	5.697	4.088	2.828
412.0	840.7	 7848	 3752	204.5	197.5	163.3	127.1	126.9	117.5	99.45	79.96	69.19	69.75	61.40	52.87	47.23	46.74	45.59	46.48	45.74	46.56	48.78	45.38	45.93	43.84	40.51	38.53	35.40	31.59	29.82	27.73	32.91	76.95	65.53	20.35	14.69	12.83	11.41	12.84	12.65	24.39	821.0	9999.9	9999.9	 2352	21.40	10.29	7.353	5.972	3.810	3.498
414.0	560.0	 6911	 5574	239.2	187.3	149.8	148.0	126.6	111.1	97.46	86.73	70.17	67.96	59.39	51.15	52.69	44.87	48.45	42.61	47.42	47.81	48.19	44.59	46.74	43.39	41.53	38.94	36.25	32.16	30.47	26.57	26.94	59.38	80.10	28.82	15.88	13.33	12.26	11.28	11.62	15.21	140.0	 6831	9999.9	 9490	70.81	12.51	8.862	6.271	4.271	4.129
416.0	538.1	 5193	 7938	412.7	183.8	163.7	152.8	135.8	109.1	94.98	82.47	77.99	69.03	55.82	54.62	50.24	46.33	45.70	45.78	45.57	46.60	47.49	46.21	46.65	43.82	42.42	38.97	37.04	33.94	29.92	27.51	25.69	43.16	80.80	41.40	17.18	13.89	12.76	11.99	11.50	11.72	35.94	 1856	9999.9	9999.9	969.3	17.11	9.853	7.134	4.934	3.991
418.0	489.3	 3351	 9375	962.0	190.7	172.6	149.8	130.8	111.6	92.49	81.59	71.92	66.57	58.31	53.65	50.17	45.90	47.90	45.16	43.69	48.23	46.14	47.87	45.81	44.70	43.17	39.50	36.67	34.56	31.29	27.81	24.62	31.91	74.62	57.01	20.38	13.61	13.50	11.52	10.72	11.05	18.90	314.5	9999.9	9999.9	 5538	29.45	11.14	7.509	5.594	4.169
420.0	501.4	 1847	9999.9	 2206	185.1	170.3	158.8	124.6	124.2	102.1	81.69	74.85	63.07	57.44	57.59	49.60	49.21	46.76	44.17	45.14	47.11	47.20	44.39	46.43	43.80	44.08	38.42	38.07	35.36	30.36	28.90	26.41	27.18	59.32	68.58	25.12	13.72	12.89	11.07	10.79	10.85	14.85	64.25	 3937	9999.9	9999.9	266.9	13.41	8.543	6.240	4.357
422.0	531.1	875.3	 8877	 3686	187.8	157.5	145.0	127.5	121.3	105.3	91.70	71.38	68.29	59.44	51.72	50.18	48.63	45.54	44.56	46.31	45.24	47.01	48.15	46.97	44.92	42.80	39.72	37.09	34.25	32.20	30.34	26.74	24.39	43.75	73.92	36.24	14.76	12.80	11.08	10.41	11.05	11.70	22.95	830.4	9999.9	9999.9	 2453	19.93	10.13	6.307	4.945
424.0	477.8	489.2	 7807	 6138	221.9	187.1	144.0	114.2	124.0	98.10	84.17	73.40	65.45	59.07	55.18	47.51	48.14	46.35	44.93	45.76	43.37	44.29	46.79	44.97	44.08	43.13	41.08	37.27	35.37	32.51	30.92	26.10	24.43	33.33	69.02	49.31	17.79	13.14	11.55	10.75	11.65	10.77	15.14	140.2	 7042	9999.9	 9792	68.89	12.34	7.574	5.661
426.0	676.2	431.7	 5779	 8294	408.2	162.7	156.9	130.7	103.2	96.93	85.59	73.54	65.19	61.56	55.41	48.45	45.80	46.23	43.70	45.24	43.19	45.74	48.12	45.54	46.90	43.09	40.64	38.19	35.63	32.95	30.24	27.82	25.35	27.56	57.70	61.59	22.29	12.47	12.31	10.69	10.91	10.58	11.09	35.52	 1995	9999.9	9999.9	945.1	15.82	8.795	6.437
428.0	651.5	353.6	 3689	 9726	961.9	139.8	129.6	128.5	116.8	94.73	85.27	74.19	65.55	60.26	55.65	49.43	48.01	46.19	44.62	43.32	43.42	44.89	45.72	45.11	43.56	42.88	41.98	39.18	35.65	33.98	31.76	28.60	25.10	25.60	43.51	66.42	30.14	14.41	11.63	10.64	10.16	10.29	9.888	17.00	349.8	9999.9	9999.9	 5277	25.26	11.22	6.322
430.0	641.0	374.9	 1923	9999.9	 2140	161.1	140.8	123.9	117.9	93.76	86.04	72.54	70.90	61.54	56.08	49.16	46.71	46.24	45.45	41.79	41.56	45.04	46.17	46.93	44.94	43.10	41.19	37.70	35.32	33.25	31.37	26.71	26.25	23.57	33.85	66.45	41.73	16.14	12.30	10.04	10.70	9.890	9.493	12.84	66.76	 4067	9999.9	9999.9	221.2	12.68	7.552
432.0	583.3	380.0	870.4	 9427	 3778	160.8	148.4	131.3	126.4	103.0	82.98	77.97	67.56	59.29	53.93	51.14	48.69	43.68	46.40	40.84	42.13	43.34	43.99	43.97	44.69	42.86	40.87	38.03	35.81	33.44	31.66	26.54	26.90	23.56	26.21	58.67	52.88	19.27	11.56	10.46	10.42	9.456	9.421	10.35	23.42	869.8	9999.9	9999.9	 2168	17.76	8.908
434.0	589.4	532.7	409.0	 8218	 6066	217.6	136.3	119.2	113.2	99.85	83.07	74.39	67.15	63.49	53.28	51.09	48.91	43.92	42.96	42.21	40.45	45.59	46.28	43.00	43.52	43.71	40.38	38.01	36.96	34.07	31.72	27.39	26.08	22.32	23.14	44.72	59.66	26.53	12.37	10.25	10.62	10.10	9.177	10.44	13.52	146.6	 6919	9999.9	 9159	58.08	10.46
436.0	525.4	554.2	325.6	 5854	 8493	373.4	151.3	128.9	113.8	98.01	87.98	81.32	65.44	61.69	53.63	51.48	46.91	45.54	41.40	41.69	42.59	44.00	44.20	40.87	43.22	42.89	41.69	40.69	36.45	33.13	31.61	28.90	26.86	23.48	22.44	32.54	60.63	35.20	13.55	11.10	10.17	9.513	9.693	9.753	11.49	37.15	 1934	9999.9	9999.9	792.8	14.90
438.0	471.3	586.2	232.1	 3455	9999.9	 1036	131.6	113.7	108.4	102.6	80.05	79.88	70.87	60.08	53.93	49.30	45.95	43.01	42.01	40.83	39.91	43.46	44.20	42.11	42.25	43.55	41.71	40.28	36.12	33.71	30.80	28.87	26.53	23.64	21.98	24.90	55.77	45.00	16.28	10.78	10.58	9.592	9.829	9.277	9.976	17.45	335.2	9999.9	9999.9	 4887	23.17
440.0	382.0	537.4	345.1	 1882	9999.9	 2176	144.6	118.6	93.44	101.4	89.75	72.64	66.84	65.86	59.12	49.66	45.88	45.41	40.10	40.79	39.15	42.02	42.54	43.60	42.64	43.35	42.56	37.96	36.76	32.62	32.63	29.92	25.10	24.75	21.60	22.79	44.47	52.66	21.04	11.99	10.77	9.925	9.456	8.623	8.937	13.11	66.19	 3815	9999.9	9999.9	219.8
442.0	382.9	558.2	285.4	888.0	9999.9	 4114	143.7	123.5	105.0	90.26	85.55	70.96	70.31	63.04	59.19	52.68	45.01	42.57	40.12	40.20	39.02	41.50	40.00	42.57	40.48	41.18	41.66	38.78	35.84	35.09	31.61	29.16	26.58	23.79	21.34	20.88	33.26	56.50	29.21	12.06	10.89	9.506	9.417	8.870	8.853	10.11	23.99	782.7	9999.9	9999.9	 2081
444.0	463.5	525.5	366.5	390.8	 8376	 6628	184.9	113.9	103.4	95.56	86.32	75.94	67.47	58.48	56.30	47.95	44.76	43.05	40.69	38.39	40.45	38.87	41.88	41.45	39.76	42.23	39.34	39.16	38.26	33.62	32.30	29.94	27.11	23.75	21.92	19.87	26.01	51.02	37.94	15.01	10.46	9.855	8.737	9.131	9.291	8.933	14.89	131.6	 6553	9999.9	 8517
446.0	374.3	500.3	345.1	267.6	 5967	 9265	328.9	116.4	103.3	91.87	77.46	73.86	64.23	60.28	52.09	50.38	47.52	44.86	42.92	39.23	40.16	39.72	41.80	39.79	41.70	41.29	41.09	41.21	36.38	34.18	32.42	29.31	26.62	24.64	22.76	20.75	20.56	43.08	46.88	18.19	10.81	10.11	8.455	8.070	8.625	8.313	10.70	33.69	 1799	9999.9	9999.9
448.0	401.6	381.7	522.5	284.7	 3688	9999.9	997.9	106.0	100.9	93.73	88.08	69.08	69.13	59.75	57.38	47.57	43.53	45.93	41.50	40.45	37.78	40.71	42.24	40.14	41.76	39.25	40.03	39.97	36.98	33.66	32.30	30.33	27.58	25.21	21.50	21.85	18.62	32.41	49.84	25.08	11.21	10.23	9.314	8.636	7.891	8.414	9.197	16.77	303.6	9999.9	9999.9
450.0	402.2	394.1	537.3	224.4	 1897	9999.9	 2408	114.7	102.4	83.26	89.52	77.19	66.32	66.27	57.24	46.03	44.89	40.81	42.58	39.77	40.03	40.76	38.91	39.96	41.44	39.19	38.05	38.28	36.53	34.79	32.09	30.50	27.91	24.48	22.68	20.68	19.69	25.75	49.15	32.16	12.35	10.30	9.652	8.301	7.903	8.670	8.904	11.93	60.40	 3646	9999.9
452.0	367.5	387.9	457.3	296.1	860.5	9999.9	 4483	127.0	112.5	103.8	78.03	71.77	66.61	58.04	53.92	49.22	44.46	41.53	39.79	38.83	42.35	39.21	37.44	39.88	42.57	39.43	37.55	37.02	35.86	35.74	32.23	29.34	27.75	24.85	22.89	21.36	18.78	20.24	42.50	40.22	16.16	10.26	9.542	9.305	8.218	8.104	8.155	9.712	22.00	758.5	9999.9
454.0	401.5	426.1	446.6	304.6	393.9	 8672	 7125	168.7	105.7	93.30	79.86	76.71	73.52	60.44	51.72	48.54	46.46	45.45	38.43	39.75	39.76	37.95	39.18	39.98	42.00	40.08	37.25	36.94	36.80	35.85	33.10	30.55	27.79	26.39	22.82	20.73	18.42	17.77	33.18	45.80	21.58	10.51	9.086	9.024	8.787	8.342	8.047	8.011	13.65	129.7	 6235
456.0	303.6	316.1	470.3	364.7	241.7	 6302	9999.9	423.5	102.3	94.23	83.76	71.23	67.83	56.47	51.57	50.54	43.56	42.09	41.10	37.46	39.17	40.04	39.87	40.84	38.84	37.45	37.75	36.84	36.14	34.96	33.44	29.87	29.35	25.68	23.81	21.09	18.50	17.99	24.76	44.89	28.76	11.63	9.014	9.233	7.931	7.927	7.754	7.522	10.57	32.14	 1666
458.0	253.1	342.7	400.6	433.2	183.7	 3746	9999.9	 1165	106.7	92.42	71.93	74.13	67.64	58.86	53.79	50.07	45.47	41.95	41.06	41.26	39.64	39.12	38.96	38.64	39.50	37.10	37.40	36.08	36.08	34.89	32.64	30.45	27.88	25.97	23.94	21.21	19.54	18.33	20.32	40.93	35.80	15.20	9.698	9.240	8.757	8.464	8.169	8.149	9.357	17.20	282.8
460.0	479.3	329.0	343.9	406.6	186.6	 1916	9999.9	 2727	107.3	87.75	79.89	79.39	66.99	57.52	52.57	43.98	47.28	44.20	40.96	38.72	39.66	37.68	40.63	37.50	38.65	36.75	36.18	35.25	36.71	34.30	33.01	32.25	27.98	26.62	23.34	22.33	20.45	18.71	18.26	32.66	40.90	18.60	9.868	8.515	7.847	9.602	7.945	7.811	8.203	11.56	57.46
462.0	424.0	314.6	342.3	440.1	225.7	779.6	9999.9	 5214	101.6	92.36	85.84	71.22	67.54	63.19	54.31	50.78	48.22	42.82	40.23	38.09	36.76	35.30	38.36	37.97	36.35	36.58	36.09	33.57	34.87	33.95	33.39	31.57	29.39	26.34	23.93	23.63	20.26	18.68	17.40	25.68	41.97	24.64	10.98	8.686	7.838	8.158	8.663	8.521	7.939	9.426	21.41
464.0	399.5	315.4	275.8	411.6	239.3	323.3	 9260	 8332	170.5	102.8	80.47	77.07	72.54	63.17	57.67	49.53	46.25	42.17	38.39	37.86	37.80	36.47	36.85	37.84	37.29	37.21	34.35	35.80	33.04	32.12	33.63	31.52	29.55	27.08	24.14	22.49	20.71	17.94	17.07	20.13	38.96	32.14	12.87	9.376	7.979	8.485	7.895	8.909	7.693	9.552	13.98
466.0	494.6	249.0	227.8	450.8	277.9	215.4	 6690	9999.9	452.4	100.5	72.65	69.79	73.06	60.38	58.38	47.42	50.01	42.51	39.42	36.72	35.40	37.57	37.43	37.23	34.74	35.06	34.02	33.61	32.49	32.06	32.14	31.22	28.73	26.32	24.65	22.21	19.86	19.67	15.68	17.05	32.39	36.49	16.54	9.282	8.457	8.233	8.412	8.131	7.876	8.753	10.49
468.0	488.7	357.6	283.7	469.1	322.5	170.6	 3942	9999.9	 1283	106.3	88.77	69.28	69.85	58.82	56.08	46.37	43.90	41.29	38.97	36.93	37.44	36.21	38.50	37.42	34.69	34.75	35.33	32.49	29.77	32.24	31.29	31.84	29.05	26.86	24.96	23.53	20.82	18.95	16.92	15.66	26.56	38.18	21.38	10.36	8.758	8.316	8.101	8.897	7.899	8.468	8.643
470.0	395.5	257.4	391.8	415.4	374.5	173.4	 1902	9999.9	 3060	100.1	86.04	75.66	69.02	52.73	55.27	48.98	45.54	42.14	41.26	37.46	37.82	35.09	39.12	36.16	35.53	35.29	35.18	34.09	32.36	32.73	31.32	32.09	29.89	27.98	24.21	23.37	20.79	19.02	17.62	15.48	20.61	37.82	28.62	11.30	8.888	8.771	8.049	8.584	7.681	8.105	7.991
472.0	343.6	334.4	335.6	354.4	360.9	188.5	815.4	9999.9	 5893	110.1	83.03	71.31	68.80	62.41	57.23	46.40	45.28	42.31	40.44	36.50	37.33	35.57	38.17	37.29	36.80	34.04	33.48	32.83	31.39	31.39	30.54	29.77	29.74	29.30	24.71	23.41	21.15	18.35	17.52	15.22	16.87	32.90	31.80	14.33	9.349	8.387	8.587	7.884	7.444	7.050	7.085
474.0	344.0	236.4	252.0	269.8	402.0	175.6	337.1	 8976	 9088	160.8	82.88	74.60	63.00	61.40	54.92	49.67	43.74	40.03	36.16	37.18	35.04	36.44	35.20	35.19	35.06	33.68	31.91	31.16	30.86	31.63	29.56	30.05	30.01	28.96	24.09	23.90	21.97	18.71	17.80	16.10	15.10	26.82	36.43	18.13	9.083	8.533	8.527	7.110	7.747	7.351	7.148
476.0	407.5	209.8	253.4	271.9	398.0	208.7	163.5	 6269	9999.9	459.1	89.10	69.36	64.78	63.75	56.12	50.53	42.47	41.85	37.49	35.58	36.29	34.65	37.13	33.43	35.57	33.64	31.74	32.51	31.18	31.11	29.20	28.13	30.62	27.50	24.11	21.90	21.92	19.07	17.84	16.64	15.11	21.32	35.13	23.10	10.10	7.921	7.990	7.072	7.804	7.512	7.169
478.0	460.1	255.8	223.8	269.1	437.2	239.0	139.7	 3558	9999.9	 1375	71.95	65.94	65.64	55.59	52.78	48.69	45.38	41.40	38.64	36.48	33.80	32.28	35.31	31.36	32.27	32.04	31.96	31.45	30.20	31.21	28.13	26.91	29.53	29.69	25.46	23.47	21.74	19.45	16.76	16.23	14.18	16.74	32.29	28.93	11.37	7.935	7.587	7.347	7.812	6.978	6.869
480.0	458.4	277.4	257.8	197.4	347.4	263.8	134.5	 1709	9999.9	 3247	87.76	71.58	61.55	58.50	46.51	46.53	43.07	37.49	34.34	35.54	34.51	31.40	34.39	31.75	32.91	32.97	31.32	29.85	30.07	29.43	29.28	26.02	26.84	28.49	25.85	24.36	21.35	19.12	17.15	15.56	14.59	15.18	26.80	32.12	14.43	8.604	7.501	7.536	6.950	6.078	6.930
482.0	398.2	265.8	237.9	228.9	320.6	299.3	142.3	670.1	9999.9	 5991	84.60	77.53	60.53	57.19	48.35	48.69	42.54	38.58	39.09	37.08	31.17	32.92	31.34	32.29	30.96	30.27	30.74	31.23	27.33	28.19	27.35	27.81	26.20	26.18	25.97	23.78	22.74	18.31	17.25	15.97	14.34	13.89	20.96	33.40	18.82	9.775	7.827	7.428	7.526	7.249	6.328
484.0	399.4	295.9	250.6	199.5	235.6	378.6	141.8	252.1	 8991	 9493	160.3	72.46	61.82	56.30	51.34	46.85	43.55	38.42	36.90	35.69	31.78	32.46	31.22	30.46	28.66	30.33	30.53	29.99	27.13	28.35	26.71	26.74	25.58	24.51	26.44	24.32	22.80	20.15	16.83	15.95	14.21	12.67	17.10	30.22	24.60	9.971	8.122	7.036	6.896	6.867	7.104
486.0	384.6	250.4	250.9	187.7	230.9	368.7	150.4	153.2	 6087	9999.9	482.9	73.65	63.33	59.60	48.64	47.54	43.27	40.68	38.13	36.22	33.96	28.61	30.20	31.33	30.69	28.32	28.80	27.93	26.80	25.76	25.94	24.31	25.55	23.48	25.90	24.95	20.88	19.83	18.54	16.27	13.98	13.16	13.84	26.75	28.54	13.30	8.454	7.852	7.372	7.275	6.813
488.0	422.3	290.1	325.3	217.0	171.4	361.9	180.7	123.0	 3428	9999.9	 1457	78.58	65.51	54.35	49.83	47.48	41.79	40.49	34.15	35.07	33.54	30.71	30.48	30.14	26.71	27.53	28.09	28.32	28.04	25.88	26.88	25.44	23.49	23.55	23.47	24.88	21.16	20.37	18.36	15.63	13.74	14.24	12.73	21.61	30.64	16.30	8.871	7.080	6.665	7.173	6.809
490.0	453.5	276.3	221.4	252.7	159.4	295.6	206.1	117.4	 1651	9999.9	 3458	76.58	60.69	52.16	47.25	49.73	41.94	38.89	39.00	34.94	32.70	31.56	28.80	31.63	27.57	29.77	27.25	27.55	26.12	25.24	25.94	25.50	23.96	24.51	24.11	23.90	23.00	21.65	18.28	16.42	14.53	11.98	12.76	17.31	30.78	21.38	9.393	7.463	7.230	7.043	6.429
492.0	335.2	287.0	314.3	212.0	191.9	272.5	255.1	112.9	638.3	9999.9	 6540	83.40	55.26	56.00	52.03	45.70	37.98	38.63	33.35	34.20	30.79	33.30	29.83	26.85	28.47	28.85	27.33	26.60	26.89	24.97	25.20	24.73	23.13	23.53	21.75	23.89	23.00	20.38	18.69	16.13	16.24	13.72	12.92	14.13	26.94	24.41	11.27	8.173	7.301	6.624	6.448
494.0	362.0	299.7	191.0	188.2	172.4	241.5	307.2	130.6	208.5	 8944	9999.9	152.7	63.45	53.95	53.86	43.75	40.62	37.42	35.35	30.68	32.46	29.77	28.84	27.44	30.01	26.42	26.28	25.14	25.83	24.83	24.83	22.96	22.82	21.78	20.41	22.20	23.91	21.14	18.41	16.55	14.46	13.57	13.26	12.84	22.26	26.92	14.18	8.105	6.679	6.783	6.325
496.0	457.3	287.8	220.9	164.9	174.5	207.9	288.0	125.6	115.4	 5972	9999.9	479.8	66.47	56.21	48.42	43.89	42.08	40.22	36.80	32.56	29.07	32.46	29.72	27.16	28.68	27.19	25.35	24.05	26.06	24.53	24.15	22.88	22.60	22.15	21.09	22.29	21.28	20.43	18.59	17.63	15.15	13.56	11.32	12.28	18.11	28.80	18.12	8.784	6.639	6.608	5.979
498.0	384.8	263.2	191.4	156.1	157.2	192.6	315.0	141.2	103.7	 3385	9999.9	 1454	65.26	53.96	51.27	40.39	38.77	36.48	36.16	31.33	28.79	29.87	28.83	27.00	25.30	25.21	25.19	24.89	25.06	24.32	24.10	22.53	22.61	21.29	20.55	21.28	21.49	21.16	19.03	17.95	15.24	13.92	12.52	11.18	14.52	25.62	21.75	9.581	6.637	7.162	6.209
500.0	416.5	275.6	240.6	171.6	145.4	149.6	290.8	169.0	88.14	 1671	9999.9	 3503	60.29	52.43	48.90	41.60	37.41	36.24	32.99	31.13	29.99	28.91	27.31	26.48	26.02	24.59	26.14	24.76	23.93	23.34	23.97	22.57	21.15	20.18	20.35	20.13	19.95	21.46	20.82	16.91	15.36	13.92	12.84	11.83	12.11	22.55	24.94	12.18	7.381	7.502	6.547
502.0	448.5	239.2	262.3	204.2	137.5	112.5	306.2	202.5	88.62	648.0	9999.9	 6706	70.09	55.46	49.48	40.84	39.05	35.26	33.88	32.77	32.04	28.75	26.90	24.98	27.28	24.80	24.00	24.93	23.82	22.12	22.40	21.04	21.33	21.06	20.59	18.62	19.55	19.54	20.07	17.22	15.30	14.21	12.83	11.57	11.53	17.75	27.18	15.57	8.788	6.273	5.351
504.0	449.5	312.1	253.4	195.5	155.5	114.6	279.2	247.5	82.27	217.6	 9091	9999.9	120.2	51.75	50.20	44.52	38.87	35.06	33.72	31.11	31.16	26.71	27.03	27.93	25.68	23.66	23.15	24.15	23.15	22.26	21.40	20.40	21.73	19.49	20.55	18.43	18.13	18.55	20.35	17.89	15.13	13.91	11.89	11.75	10.98	15.16	24.53	18.81	8.599	7.258	6.370
506.0	410.6	282.0	234.9	164.3	152.1	104.5	221.7	279.0	88.92	108.2	 6130	9999.9	391.7	55.93	46.29	45.64	40.56	33.66	33.07	32.51	28.88	26.83	25.77	26.70	23.99	23.12	23.15	22.15	23.74	21.81	21.42	21.06	19.25	19.54	19.90	19.23	17.90	17.50	19.95	17.73	15.46	13.80	12.65	11.24	10.89	12.22	22.46	21.73	10.76	6.551	6.033
